שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,18-01-2020,מפוזרת,0,10.8,208.8,363.6,597.6,745.2,831.6,871.2,619.2,403.2,97.2,39.6,0,0
בית דגן קרינה                                     ,2524,18-01-2020,גלובאלית,0,10.8,255.6,399.6,1234.8,1440,921.6,1717.2,1540.8,561.6,100.8,43.2,0,0
בית דגן קרינה                                     ,2524,19-01-2020,ישירה,0,0,0,0,0,306,3.6,28.8,7.2,3.6,0,0,0,0
בית דגן קרינה                                     ,2524,19-01-2020,מפוזרת,0,3.6,32.4,97.2,68.4,986.4,237.6,601.2,396,244.8,162,28.8,0,0
בית דגן קרינה                                     ,2524,19-01-2020,גלובאלית,0,3.6,32.4,100.8,72,1321.2,252,662.4,421.2,259.2,172.8,32.4,0,0
בית דגן קרינה                                     ,2524,20-01-2020,ישירה,0,0,0,0,0,93.6,0,14.4,36,43.2,3.6,0,0,0
בית דגן קרינה                                     ,2524,20-01-2020,מפוזרת,0,3.6,104.4,180,324,874.8,370.8,756,439.2,392.4,194.4,72,0,0
בית דגן קרינה                                     ,2524,20-01-2020,גלובאלית,0,3.6,108,187.2,338.4,1018.8,388.8,806.4,486,446.4,205.2,79.2,0,0
בית דגן קרינה                                     ,2524,21-01-2020,מפוזרת,0,3.6,61.2,378,496.8,385.2,284.4,226.8,367.2,309.6,244.8,136.8,0,0
בית דגן קרינה                                     ,2524,21-01-2020,גלובאלית,0,3.6,68.4,590.4,576,446.4,324,244.8,424.8,331.2,273.6,144,0,0
בית דגן קרינה                                     ,2524,21-01-2020,ישירה,0,7.2,0,475.2,93.6,61.2,28.8,0,50.4,0,28.8,0,0,0
בית דגן קרינה                                     ,2524,22-01-2020,ישירה,0,3.6,187.2,208.8,932.4,802.8,421.2,2091.6,21.6,1918.8,1839.6,0,0,0
בית דגן קרינה                                     ,2524,22-01-2020,מפוזרת,0,14.4,223.2,435.6,590.4,925.2,1018.8,918,518.4,464.4,234,79.2,0,0
בית דגן קרינה                                     ,2524,22-01-2020,גלובאלית,0,14.4,320.4,576,1159.2,1512,1414.8,2332.8,565.2,1393.2,824.4,82.8,0,0
בית דגן קרינה                                     ,2524,23-01-2020,ישירה,0,0,370.8,1227.6,1868.4,1249.2,651.6,2260.8,1375.2,2347.2,2062.8,802.8,0,0
בית דגן קרינה                                     ,2524,23-01-2020,מפוזרת,0,10.8,169.2,439.2,464.4,720,914.4,702,720,385.2,241.2,111.6,0,0
